,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant
100,100,76,129,106,existing,992.6166103829053,100,76,129,10,existing,709.6013318315511,100,76,129,91,allocated,465.40165219355504,100,82,129,419,existing,1769.9537341917512,100,81,129,27,existing,2545.2986023800217
101,101,75,130,347,existing,264.64646335653794,101,75,130,401,existing,450.03762080466817,101,75,130,130,allocated,0.0,101,82,130,419,existing,1085.24221466973,101,81,130,27,existing,1810.7367452177214
102,102,80,131,284,existing,464.7305397505003,102,80,131,157,existing,507.3773464306767,102,80,131,132,allocated,56.33167797135348,102,82,131,419,existing,800.2978496539189,102,81,131,27,existing,928.0352814025919
103,103,80,132,284,existing,408.39886177914684,103,80,132,157,existing,451.0456684593232,103,80,132,132,allocated,0.0,103,82,132,419,existing,743.9661716825655,103,81,132,27,existing,871.7036034312384
104,104,76,133,106,existing,52.6085816733875,104,76,133,401,existing,796.7382468884998,104,76,133,106,existing,52.6085816733875,104,82,133,419,existing,1431.9428407535613,104,81,133,27,existing,2157.437371301553
105,105,76,134,106,existing,149.88559129499475,105,76,134,401,existing,778.6173134316832,105,76,134,134,allocated,0.0,105,82,134,419,existing,1362.2974076532525,105,81,134,27,existing,2137.642275841523
106,106,74,135,252,existing,626.7283489950305,106,74,135,157,existing,1221.6889200495082,106,74,135,425,allocated,48.64931898016344,106,82,135,419,existing,2001.4548896712872,106,81,135,27,existing,2540.3039852918196
107,107,74,136,252,existing,533.4994930979686,107,74,136,157,existing,1154.9757861845328,107,74,136,268,allocated,65.04251547013965,107,82,136,419,existing,1908.2260337742255,107,81,136,27,existing,2473.590851426844
108,108,79,137,256,existing,1054.6882866296164,108,79,137,311,existing,369.863285626231,108,79,137,311,allocated,369.863285626231,108,82,137,419,existing,1141.6501485097938,108,81,137,27,existing,2473.89614948832
109,109,77,138,368,existing,188.9067847459687,109,77,138,277,existing,597.5589010080623,109,77,138,424,allocated,61.875996432192764,109,82,138,419,existing,382.0252398824357,109,81,138,27,existing,1138.7993058564175
110,110,77,139,368,existing,161.1994078064824,110,77,139,277,existing,619.5574466497428,110,77,139,424,allocated,89.58337337167906,110,82,139,419,existing,354.31786294294943,110,81,139,27,existing,1166.5066827959038
111,111,80,140,284,existing,432.8376915173303,111,80,140,277,existing,198.57083032163587,111,80,140,144,allocated,82.69881080338783,111,81,140,27,existing,739.8112351699909,111,82,140,419,existing,768.4050014207489
112,112,80,141,284,existing,536.5111009167756,112,80,141,277,existing,94.89742092219053,112,80,141,141,allocated,0.0,112,82,141,419,existing,800.5738733648813,112,81,141,27,existing,842.8735108332273
113,113,80,142,284,existing,437.27857277392286,113,80,142,277,existing,409.0242151152437,113,80,142,396,allocated,158.79406173511728,113,82,142,419,existing,704.0628312102501,113,81,142,27,existing,950.2646199635988
114,114,80,143,284,existing,370.52712005642496,114,80,143,277,existing,342.27276239774574,114,80,143,396,allocated,92.04260901761937,114,82,143,419,existing,637.3113784927523,114,81,143,27,existing,883.5131672461009
115,115,80,144,284,existing,515.5365023207181,115,80,144,277,existing,281.26964112502367,115,80,144,144,allocated,0.0,115,81,144,27,existing,657.1124243666032,115,82,144,419,existing,851.1038122241367
116,116,80,145,284,existing,540.9474256636695,116,80,145,277,existing,306.68056446797505,116,80,145,145,allocated,0.0,116,81,145,27,existing,636.1756977886016,116,82,145,419,existing,876.5147355670881
117,117,80,146,284,existing,358.51450067982654,117,80,146,277,existing,492.3241090112915,117,80,146,132,allocated,49.8843610993203,117,82,146,419,existing,694.0818105832451,117,81,146,27,existing,821.8192423319181
118,118,78,148,419,existing,1027.9769732167774,118,78,148,189,existing,353.7858890620929,118,78,148,153,allocated,279.5595531950419,118,82,148,419,existing,1027.9769732167774,118,81,148,27,existing,2474.844433587076
119,119,76,149,106,existing,105.47847542327898,119,76,149,401,existing,848.3492898245132,119,76,149,149,existing,0.0,119,82,149,419,existing,1432.0293840460824,119,81,149,27,existing,2207.374252234353
